,PRED,SIGMA
435,314.8904,76.9209
436,315.4742,76.98243
437,316.1527,77.020424
438,316.86105,77.05689
439,317.5631,77.10266
440,318.15802,77.181816
441,318.51376,77.32137
442,318.4404,77.56488
443,318.2448,77.8442
444,317.7994,78.20088
445,317.91132,78.40555
446,317.9186,78.641
447,314.86395,79.98074
448,308.7398,83.45677
449,308.77203,83.72589
450,308.995,83.87181
451,309.23352,84.00431
452,309.4863,84.12398
453,309.72223,84.25074
454,309.9348,84.388306
455,310.11838,84.5252
456,310.28717,84.66023
457,310.44373,84.80233
458,310.5751,84.95835
459,310.76294,85.09981
460,310.9728,85.239075
461,311.13617,85.39973
462,311.23608,85.586464
463,311.2402,85.80939
464,311.12067,86.077835
465,310.74158,86.44267
466,310.32935,86.82507
467,310.272,87.076035
468,310.32257,87.28555
469,310.43958,87.469284
470,310.56158,87.65074
471,310.67825,87.833534
472,310.78836,88.01735
473,310.89978,88.19759
474,311.0015,88.38018
475,311.09485,88.56452
476,311.17926,88.75157
477,311.25146,88.94125
478,311.319,89.12951
479,311.38748,89.3149
480,311.46014,89.49597
481,311.53714,89.6721
482,311.62314,89.84204
483,311.73004,90.00212
484,311.8729,90.147026
485,312.06732,90.271286
486,312.32993,90.36975
487,312.67288,90.438286
488,313.0869,90.48223
489,313.54834,90.51242
490,314.02414,90.53602
491,314.48947,90.5567
492,314.91748,90.58761
493,315.3048,90.62881
494,315.6565,90.67781
495,315.99622,90.726654
496,316.31284,90.776695
497,316.61032,90.82942
498,316.8953,90.88304
499,317.1725,90.936516
500,317.44476,90.98918
501,317.71378,91.04224
502,317.9855,91.09295
503,318.25632,91.14012
504,318.52753,91.185486
505,318.79852,91.229515
506,319.06982,91.27204
507,319.34033,91.313255
508,319.61157,91.353004
509,319.88324,91.3914
510,320.15305,91.42541
511,320.422,91.45778
512,320.69022,91.48929
513,320.9574,91.52003
514,321.22336,91.55014
515,321.48697,91.58012
516,321.7481,91.60996
517,322.0071,91.639496
518,322.26358,91.668945
519,322.52048,91.697845
520,322.7761,91.72644
521,323.0285,91.755325
522,323.278,91.78437
523,323.52484,91.81364
524,323.76666,91.841225
525,324.0032,91.86801
526,324.23505,91.89618
527,324.46283,91.92513
528,324.6865,91.955345
529,324.9061,91.986755
530,325.12146,92.019615
531,325.33252,92.053665
532,325.53912,92.08896
533,325.7412,92.12563
534,325.93875,92.1638
535,326.13177,92.20346
536,326.32126,92.246544
537,326.5074,92.292114
538,326.6902,92.33826
539,326.86835,92.38626
540,327.04172,92.43632
541,327.2104,92.4885
542,327.37448,92.54324
543,327.53372,92.60035
544,327.68808,92.65982
545,327.8455,92.71383
546,328.03128,92.736336
547,328.21332,92.76023
548,328.39157,92.78548
549,328.56616,92.812164
550,328.73727,92.84038
551,328.90378,92.868614
552,329.0648,92.895836
553,329.2218,92.92413
554,329.375,92.95418
555,329.52444,92.98598
556,329.67007,93.01963
557,329.81183,93.05516
558,329.9497,93.09263
559,330.08377,93.13215
560,330.2123,93.171135
561,330.3362,93.21328
562,330.45523,93.2583
563,330.5703,93.30564
564,330.68158,93.355156
565,330.7889,93.40701
566,330.8923,93.46118
567,330.99194,93.51755
568,331.08792,93.57605
569,331.17993,93.63699
570,331.268,93.70046
571,331.3521,93.76645
572,331.43527,93.83164
573,331.534,93.87891
574,331.62967,93.9276
575,331.72235,93.97792
576,331.81223,94.02966
577,331.89902,94.08297
578,331.9828,94.13783
579,332.06354,94.19431
580,332.14133,94.2524
581,332.21606,94.31196
